id,id_orar,ora_inceput,ora_final,profesor,materie,sala,saptamana,grupa
962,78,10:00,12:00,"Paun A",LbForm&Autom,"Amf. Pompeiu (Et. 2)","Impar / Par",none
963,78,14:00,16:00,"Ghisoiu V",GeomAlgLin,"Sala 8","Impar / Par",none
964,78,12:00,14:00,"Moanga N",BD,"Sala L.221C","Impar / Par",Grupa:2
965,78,12:00,14:00,"Dobrovat A",POO,"Amf. Pompeiu (Et. 2)","Impar / Par",none
966,78,14:00,16:00,"Cheptea D",TehniciWeb,"Sala L.302A","Impar / Par",Grupa:1
967,78,16:00,18:00,"Moanga N",BD,"Sala L.221C","Impar / Par",Grupa:1
968,78,10:00,12:00,"Dumitran M",StructDate,"Sala 3",Par,none
969,78,16:00,18:00,"Cheptea D",TehniciWeb,"Sala L.221A","Impar / Par",Grupa:2
970,78,10:00,12:00,"Lupascu M ",POO,"Sala L.221C",Impar,Grupa:1
971,78,12:00,14:00,"Dumitran M ",StructDate,"Sala L.310",Impar,Grupa:1
972,78,14:00,16:00,"Chirita Ca",TehniciWeb,"Amf. Hater (Et. 0)","Impar / Par",none
973,78,10:00,12:00,"Costan M ",LbForm&Autom,"Sala L.221A",Impar,Grupa:2
974,78,12:00,14:00,"Lupascu M ",POO,"Sala L.221C",Impar,Grupa:2
975,78,10:00,12:00,"Costan M ",LbForm&Autom,"Sala L.221A",Par,Grupa:1
976,78,12:00,14:00,"Lupascu M ",POO,"Sala L.221C",Par,Grupa:1
977,78,10:00,12:00,"Lupascu M ",POO,"Sala L.221C",Par,Grupa:2
